subject,native_lang,context,mat_verb,wh,emb_verb,list,tense,response
7408,EN,MST,predict,who,recruit,blue,nonfinite,1
9493,EN,MST,predict,who,recruit,blue,nonfinite,1
7846,EN,MST,predict,who,recruit,blue,nonfinite,1
9511,EN,MST,predict,who,recruit,blue,nonfinite,1
9157,EN,MST,predict,who,recruit,blue,nonfinite,1
9610,EN,MST,predict,who,recruit,blue,nonfinite,1
9661,EN,MST,predict,who,recruit,blue,nonfinite,1
8167,EN,MST,predict,who,recruit,blue,nonfinite,1
7678,EN,MST,predict,who,recruit,blue,nonfinite,1
11344,EN,MST,predict,who,recruit,blue,nonfinite,1
10813,EN,MST,predict,who,recruit,blue,nonfinite,1
10021,EN,MST,predict,who,recruit,blue,nonfinite,1
10771,EN,MST,predict,who,recruit,blue,nonfinite,1
10729,EN,MST,predict,who,recruit,blue,nonfinite,1
10897,EN,MST,predict,who,recruit,blue,nonfinite,0
8587,EN,MST,predict,where,hide,blue,nonfinite,1
9541,EN,MST,predict,where,hide,blue,nonfinite,1
8602,EN,MST,predict,where,hide,blue,nonfinite,1
9421,EN,MST,predict,where,hide,blue,nonfinite,1
9634,EN,MST,predict,where,hide,blue,nonfinite,1
8140,EN,MST,predict,where,hide,blue,nonfinite,1
9313,EN,MST,predict,where,hide,blue,nonfinite,0
8608,EN,MST,predict,where,hide,blue,nonfinite,1
7948,EN,MST,predict,where,hide,blue,nonfinite,1
9682,EN,MST,predict,where,hide,blue,nonfinite,1
9631,EN,MST,predict,where,hide,blue,nonfinite,1
7990,EN,MST,predict,where,hide,blue,nonfinite,1
9847,EN,MST,predict,where,hide,blue,nonfinite,1
8515,EN,MST,predict,where,hide,blue,nonfinite,1
9712,EN,MST,predict,where,hide,blue,nonfinite,1
7009,EN,MST,predict,where,hide,blue,nonfinite,1
7408,EN,MST,predict,where,hide,blue,nonfinite,1
9493,EN,MST,predict,where,hide,blue,nonfinite,1
7846,EN,MST,predict,where,hide,blue,nonfinite,1
9511,EN,MST,predict,where,hide,blue,nonfinite,1
9157,EN,MST,predict,where,hide,blue,nonfinite,1
9610,EN,MST,predict,where,hide,blue,nonfinite,1
9661,EN,MST,predict,where,hide,blue,nonfinite,0
8167,EN,MST,predict,where,hide,blue,nonfinite,1
7678,EN,MST,predict,where,hide,blue,nonfinite,0
11344,EN,MST,predict,where,hide,blue,nonfinite,1
10813,EN,MST,predict,where,hide,blue,nonfinite,1
10021,EN,MST,predict,where,hide,blue,nonfinite,1
10771,EN,MST,predict,where,hide,blue,nonfinite,0
10729,EN,MST,predict,where,hide,blue,nonfinite,1
10897,EN,MST,predict,where,hide,blue,nonfinite,1
8587,EN,MST,predict,who,call,blue,nonfinite,1
9541,EN,MST,predict,who,call,blue,nonfinite,1
8602,EN,MST,predict,who,call,blue,nonfinite,1
9421,EN,MST,predict,who,call,blue,nonfinite,1
9634,EN,MST,predict,who,call,blue,nonfinite,1
8140,EN,MST,predict,who,call,blue,nonfinite,0
9313,EN,MST,predict,who,call,blue,nonfinite,1
8608,EN,MST,predict,who,call,blue,nonfinite,1
7948,EN,MST,predict,who,call,blue,nonfinite,1
9682,EN,MST,predict,who,call,blue,nonfinite,1
9631,EN,MST,predict,who,call,blue,nonfinite,1
7990,EN,MST,predict,who,call,blue,nonfinite,1
9847,EN,MST,predict,who,call,blue,nonfinite,0
8515,EN,MST,predict,who,call,blue,nonfinite,1
9712,EN,MST,predict,who,call,blue,nonfinite,0
7009,EN,MST,predict,who,call,blue,nonfinite,1
7408,EN,MST,predict,who,call,blue,nonfinite,1
9493,EN,MST,predict,who,call,blue,nonfinite,1
7846,EN,MST,predict,who,call,blue,nonfinite,1
9511,EN,MST,predict,who,call,blue,nonfinite,1
9157,EN,MST,predict,who,call,blue,nonfinite,1
9610,EN,MST,predict,who,call,blue,nonfinite,1
9661,EN,MST,predict,who,call,blue,nonfinite,1
8167,EN,MST,predict,who,call,blue,nonfinite,1
7678,EN,MST,predict,who,call,blue,nonfinite,0
11344,EN,MST,predict,who,call,blue,nonfinite,1
10813,EN,MST,predict,who,call,blue,nonfinite,1
10021,EN,MST,predict,who,call,blue,nonfinite,0
10771,EN,MST,predict,who,call,blue,nonfinite,1
10729,EN,MST,predict,who,call,blue,nonfinite,0
10897,EN,MST,predict,who,call,blue,nonfinite,1
8587,EN,MAT,predict,where,view,blue,nonfinite,1
9541,EN,MAT,predict,where,view,blue,nonfinite,1
8602,EN,MAT,predict,where,view,blue,nonfinite,1
9421,EN,MAT,predict,where,view,blue,nonfinite,1
9634,EN,MAT,predict,where,view,blue,nonfinite,1
8140,EN,MAT,predict,where,view,blue,nonfinite,1
9313,EN,MAT,predict,where,view,blue,nonfinite,0
8608,EN,MAT,predict,where,view,blue,nonfinite,1
7948,EN,MAT,predict,where,view,blue,nonfinite,1
9682,EN,MAT,predict,where,view,blue,nonfinite,1
9631,EN,MAT,predict,where,view,blue,nonfinite,1
7990,EN,MAT,predict,where,view,blue,nonfinite,1
9847,EN,MAT,predict,where,view,blue,nonfinite,1
8515,EN,MAT,predict,where,view,blue,nonfinite,1
9712,EN,MAT,predict,where,view,blue,nonfinite,1
7009,EN,MAT,predict,where,view,blue,nonfinite,1
7408,EN,MAT,predict,where,view,blue,nonfinite,1
9493,EN,MAT,predict,where,view,blue,nonfinite,1
7846,EN,MAT,predict,where,view,blue,nonfinite,1
9511,EN,MAT,predict,where,view,blue,nonfinite,1
9157,EN,MAT,predict,where,view,blue,nonfinite,1
9610,EN,MAT,predict,where,view,blue,nonfinite,1
9661,EN,MAT,predict,where,view,blue,nonfinite,1
8167,EN,MAT,predict,where,view,blue,nonfinite,1
7678,EN,MAT,predict,where,view,blue,nonfinite,1
11344,EN,MAT,predict,where,view,blue,nonfinite,1
10813,EN,MAT,predict,where,view,blue,nonfinite,1
10021,EN,MAT,predict,where,view,blue,nonfinite,1
10771,EN,MAT,predict,where,view,blue,nonfinite,1
10729,EN,MAT,predict,where,view,blue,nonfinite,1
10897,EN,MAT,predict,where,view,blue,nonfinite,1
8587,EN,MAT,predict,where,bury,blue,nonfinite,1
9541,EN,MAT,predict,where,bury,blue,nonfinite,1
8602,EN,MAT,predict,where,bury,blue,nonfinite,0
9421,EN,MAT,predict,where,bury,blue,nonfinite,1
9634,EN,MAT,predict,where,bury,blue,nonfinite,0
8140,EN,MAT,predict,where,bury,blue,nonfinite,1
9313,EN,MAT,predict,where,bury,blue,nonfinite,1
8608,EN,MAT,predict,where,bury,blue,nonfinite,1
7948,EN,MAT,predict,where,bury,blue,nonfinite,0
9682,EN,MAT,predict,where,bury,blue,nonfinite,1
9631,EN,MAT,predict,where,bury,blue,nonfinite,0
7990,EN,MAT,predict,where,bury,blue,nonfinite,1
9847,EN,MAT,predict,where,bury,blue,nonfinite,1
8515,EN,MAT,predict,where,bury,blue,nonfinite,0
9712,EN,MAT,predict,where,bury,blue,nonfinite,1
7009,EN,MAT,predict,where,bury,blue,nonfinite,1
7408,EN,MAT,predict,where,bury,blue,nonfinite,1
9493,EN,MAT,predict,where,bury,blue,nonfinite,1
7846,EN,MAT,predict,where,bury,blue,nonfinite,1
9511,EN,MAT,predict,where,bury,blue,nonfinite,0
9157,EN,MAT,predict,where,bury,blue,nonfinite,1
9610,EN,MAT,predict,where,bury,blue,nonfinite,1
9661,EN,MAT,predict,where,bury,blue,nonfinite,1
8167,EN,MAT,predict,where,bury,blue,nonfinite,1
7678,EN,MAT,predict,where,bury,blue,nonfinite,1
11344,EN,MAT,predict,where,bury,blue,nonfinite,1
10813,EN,MAT,predict,where,bury,blue,nonfinite,1
10021,EN,MAT,predict,where,bury,blue,nonfinite,1
10771,EN,MAT,predict,where,bury,blue,nonfinite,1
10729,EN,MAT,predict,where,bury,blue,nonfinite,1
10897,EN,MAT,predict,where,bury,blue,nonfinite,1
8587,EN,MAT,predict,who,interview,blue,nonfinite,1
9541,EN,MAT,predict,who,interview,blue,nonfinite,1
8602,EN,MAT,predict,who,interview,blue,nonfinite,1
9421,EN,MAT,predict,who,interview,blue,nonfinite,1
9634,EN,MAT,predict,who,interview,blue,nonfinite,0
8140,EN,MAT,predict,who,interview,blue,nonfinite,1
9313,EN,MAT,predict,who,interview,blue,nonfinite,1
8608,EN,MAT,predict,who,interview,blue,nonfinite,1
7948,EN,MAT,predict,who,interview,blue,nonfinite,1
9682,EN,MAT,predict,who,interview,blue,nonfinite,1
9631,EN,MAT,predict,who,interview,blue,nonfinite,1
7990,EN,MAT,predict,who,interview,blue,nonfinite,1
9847,EN,MAT,predict,who,interview,blue,nonfinite,1
8515,EN,MAT,predict,who,interview,blue,nonfinite,1
9712,EN,MAT,predict,who,interview,blue,nonfinite,1
7009,EN,MAT,predict,who,interview,blue,nonfinite,0
7408,EN,MAT,predict,who,interview,blue,nonfinite,1
9493,EN,MAT,predict,who,interview,blue,nonfinite,1
7846,EN,MAT,predict,who,interview,blue,nonfinite,1
9511,EN,MAT,predict,who,interview,blue,nonfinite,1
9157,EN,MAT,predict,who,interview,blue,nonfinite,1
9610,EN,MAT,predict,who,interview,blue,nonfinite,1
9661,EN,MAT,predict,who,interview,blue,nonfinite,1
8167,EN,MAT,predict,who,interview,blue,nonfinite,1
7678,EN,MAT,predict,who,interview,blue,nonfinite,1
11344,EN,MAT,predict,who,interview,blue,nonfinite,1
10813,EN,MAT,predict,who,interview,blue,nonfinite,1
10021,EN,MAT,predict,who,interview,blue,nonfinite,1
10771,EN,MAT,predict,who,interview,blue,nonfinite,1
10729,EN,MAT,predict,who,interview,blue,nonfinite,1
10897,EN,MAT,predict,who,interview,blue,nonfinite,1
8587,EN,MAT,predict,who,hire,blue,nonfinite,1
9541,EN,MAT,predict,who,hire,blue,nonfinite,0
8602,EN,MAT,predict,who,hire,blue,nonfinite,1
9421,EN,MAT,predict,who,hire,blue,nonfinite,1
9634,EN,MAT,predict,who,hire,blue,nonfinite,1
8140,EN,MAT,predict,who,hire,blue,nonfinite,1
9313,EN,MAT,predict,who,hire,blue,nonfinite,1
8608,EN,MAT,predict,who,hire,blue,nonfinite,1
7948,EN,MAT,predict,who,hire,blue,nonfinite,1
9682,EN,MAT,predict,who,hire,blue,nonfinite,1
9631,EN,MAT,predict,who,hire,blue,nonfinite,1
7990,EN,MAT,predict,who,hire,blue,nonfinite,1
9847,EN,MAT,predict,who,hire,blue,nonfinite,1
8515,EN,MAT,predict,who,hire,blue,nonfinite,1
9712,EN,MAT,predict,who,hire,blue,nonfinite,1
7009,EN,MAT,predict,who,hire,blue,nonfinite,1
7408,EN,MAT,predict,who,hire,blue,nonfinite,1
9493,EN,MAT,predict,who,hire,blue,nonfinite,1
7846,EN,MAT,predict,who,hire,blue,nonfinite,1
9511,EN,MAT,predict,who,hire,blue,nonfinite,1
9157,EN,MAT,predict,who,hire,blue,nonfinite,1
9610,EN,MAT,predict,who,hire,blue,nonfinite,1
9661,EN,MAT,predict,who,hire,blue,nonfinite,1
8167,EN,MAT,predict,who,hire,blue,nonfinite,1
7678,EN,MAT,predict,who,hire,blue,nonfinite,1
11344,EN,MAT,predict,who,hire,blue,nonfinite,1
10813,EN,MAT,predict,who,hire,blue,nonfinite,1
10021,EN,MAT,predict,who,hire,blue,nonfinite,1
10771,EN,MAT,predict,who,hire,blue,nonfinite,1
10729,EN,MAT,predict,who,hire,blue,nonfinite,0
10897,EN,MAT,predict,who,hire,blue,nonfinite,1
8587,EN,MAF,predict,where,store,blue,nonfinite,0
9541,EN,MAF,predict,where,store,blue,nonfinite,0
8602,EN,MAF,predict,where,store,blue,nonfinite,0
9421,EN,MAF,predict,where,store,blue,nonfinite,0
9634,EN,MAF,predict,where,store,blue,nonfinite,0
8140,EN,MAF,predict,where,store,blue,nonfinite,0
9313,EN,MAF,predict,where,store,blue,nonfinite,0
8608,EN,MAF,predict,where,store,blue,nonfinite,0
7948,EN,MAF,predict,where,store,blue,nonfinite,0
9682,EN,MAF,predict,where,store,blue,nonfinite,0
9631,EN,MAF,predict,where,store,blue,nonfinite,0
7990,EN,MAF,predict,where,store,blue,nonfinite,0
9847,EN,MAF,predict,where,store,blue,nonfinite,0
8515,EN,MAF,predict,where,store,blue,nonfinite,0
9712,EN,MAF,predict,where,store,blue,nonfinite,0
7009,EN,MAF,predict,where,store,blue,nonfinite,0
7408,EN,MAF,predict,where,store,blue,nonfinite,0
9493,EN,MAF,predict,where,store,blue,nonfinite,0
7846,EN,MAF,predict,where,store,blue,nonfinite,0
9511,EN,MAF,predict,where,store,blue,nonfinite,0
9157,EN,MAF,predict,where,store,blue,nonfinite,0
9610,EN,MAF,predict,where,store,blue,nonfinite,0
9661,EN,MAF,predict,where,store,blue,nonfinite,0
8167,EN,MAF,predict,where,store,blue,nonfinite,0
7678,EN,MAF,predict,where,store,blue,nonfinite,0
11344,EN,MAF,predict,where,store,blue,nonfinite,0
10813,EN,MAF,predict,where,store,blue,nonfinite,0
10021,EN,MAF,predict,where,store,blue,nonfinite,0
10771,EN,MAF,predict,where,store,blue,nonfinite,0
10729,EN,MAF,predict,where,store,blue,nonfinite,0
10897,EN,MAF,predict,where,store,blue,nonfinite,0
8587,EN,MAF,predict,where,sell,blue,nonfinite,0
9541,EN,MAF,predict,where,sell,blue,nonfinite,0
8602,EN,MAF,predict,where,sell,blue,nonfinite,0
9421,EN,MAF,predict,where,sell,blue,nonfinite,0
9634,EN,MAF,predict,where,sell,blue,nonfinite,0
8140,EN,MAF,predict,where,sell,blue,nonfinite,0
9313,EN,MAF,predict,where,sell,blue,nonfinite,0
8608,EN,MAF,predict,where,sell,blue,nonfinite,0
7948,EN,MAF,predict,where,sell,blue,nonfinite,0
9682,EN,MAF,predict,where,sell,blue,nonfinite,0
9631,EN,MAF,predict,where,sell,blue,nonfinite,0
7990,EN,MAF,predict,where,sell,blue,nonfinite,0
9847,EN,MAF,predict,where,sell,blue,nonfinite,0
8515,EN,MAF,predict,where,sell,blue,nonfinite,0
9712,EN,MAF,predict,where,sell,blue,nonfinite,0
7009,EN,MAF,predict,where,sell,blue,nonfinite,0
7408,EN,MAF,predict,where,sell,blue,nonfinite,0
9493,EN,MAF,predict,where,sell,blue,nonfinite,0
7846,EN,MAF,predict,where,sell,blue,nonfinite,0
9511,EN,MAF,predict,where,sell,blue,nonfinite,0
9157,EN,MAF,predict,where,sell,blue,nonfinite,0
9610,EN,MAF,predict,where,sell,blue,nonfinite,0
9661,EN,MAF,predict,where,sell,blue,nonfinite,0
8167,EN,MAF,predict,where,sell,blue,nonfinite,0
7678,EN,MAF,predict,where,sell,blue,nonfinite,0
11344,EN,MAF,predict,where,sell,blue,nonfinite,0
10813,EN,MAF,predict,where,sell,blue,nonfinite,0
10021,EN,MAF,predict,where,sell,blue,nonfinite,0
10771,EN,MAF,predict,where,sell,blue,nonfinite,0
10729,EN,MAF,predict,where,sell,blue,nonfinite,0
10897,EN,MAF,predict,where,sell,blue,nonfinite,0
8587,EN,MAF,predict,who,invite,blue,nonfinite,0
9541,EN,MAF,predict,who,invite,blue,nonfinite,0
8602,EN,MAF,predict,who,invite,blue,nonfinite,0
9421,EN,MAF,predict,who,invite,blue,nonfinite,0
9634,EN,MAF,predict,who,invite,blue,nonfinite,0
8140,EN,MAF,predict,who,invite,blue,nonfinite,0
9313,EN,MAF,predict,who,invite,blue,nonfinite,0
8608,EN,MAF,predict,who,invite,blue,nonfinite,0
7948,EN,MAF,predict,who,invite,blue,nonfinite,0
9682,EN,MAF,predict,who,invite,blue,nonfinite,0
9631,EN,MAF,predict,who,invite,blue,nonfinite,0
7990,EN,MAF,predict,who,invite,blue,nonfinite,0
9847,EN,MAF,predict,who,invite,blue,nonfinite,0
8515,EN,MAF,predict,who,invite,blue,nonfinite,0
9712,EN,MAF,predict,who,invite,blue,nonfinite,0
7009,EN,MAF,predict,who,invite,blue,nonfinite,0
7408,EN,MAF,predict,who,invite,blue,nonfinite,0
9493,EN,MAF,predict,who,invite,blue,nonfinite,0
7846,EN,MAF,predict,who,invite,blue,nonfinite,0
9511,EN,MAF,predict,who,invite,blue,nonfinite,0
9157,EN,MAF,predict,who,invite,blue,nonfinite,0
9610,EN,MAF,predict,who,invite,blue,nonfinite,0
9661,EN,MAF,predict,who,invite,blue,nonfinite,0
8167,EN,MAF,predict,who,invite,blue,nonfinite,0
7678,EN,MAF,predict,who,invite,blue,nonfinite,0
11344,EN,MAF,predict,who,invite,blue,nonfinite,0
10813,EN,MAF,predict,who,invite,blue,nonfinite,0
10021,EN,MAF,predict,who,invite,blue,nonfinite,0
10771,EN,MAF,predict,who,invite,blue,nonfinite,0
10729,EN,MAF,predict,who,invite,blue,nonfinite,0
10897,EN,MAF,predict,who,invite,blue,nonfinite,0
8587,EN,MAF,predict,who,select,blue,nonfinite,0
9541,EN,MAF,predict,who,select,blue,nonfinite,0
8602,EN,MAF,predict,who,select,blue,nonfinite,0
9421,EN,MAF,predict,who,select,blue,nonfinite,0
9634,EN,MAF,predict,who,select,blue,nonfinite,0
8140,EN,MAF,predict,who,select,blue,nonfinite,0
9313,EN,MAF,predict,who,select,blue,nonfinite,0
8608,EN,MAF,predict,who,select,blue,nonfinite,0
7948,EN,MAF,predict,who,select,blue,nonfinite,0
9682,EN,MAF,predict,who,select,blue,nonfinite,0
9631,EN,MAF,predict,who,select,blue,nonfinite,0
7990,EN,MAF,predict,who,select,blue,nonfinite,0
9847,EN,MAF,predict,who,select,blue,nonfinite,0
8515,EN,MAF,predict,who,select,blue,nonfinite,0
9712,EN,MAF,predict,who,select,blue,nonfinite,0
7009,EN,MAF,predict,who,select,blue,nonfinite,0
7408,EN,MAF,predict,who,select,blue,nonfinite,0
9493,EN,MAF,predict,who,select,blue,nonfinite,0
7846,EN,MAF,predict,who,select,blue,nonfinite,0
9511,EN,MAF,predict,who,select,blue,nonfinite,0
9157,EN,MAF,predict,who,select,blue,nonfinite,0
9610,EN,MAF,predict,who,select,blue,nonfinite,0
9661,EN,MAF,predict,who,select,blue,nonfinite,0
8167,EN,MAF,predict,who,select,blue,nonfinite,0
7678,EN,MAF,predict,who,select,blue,nonfinite,0
11344,EN,MAF,predict,who,select,blue,nonfinite,0
10813,EN,MAF,predict,who,select,blue,nonfinite,0
10021,EN,MAF,predict,who,select,blue,nonfinite,0
10771,EN,MAF,predict,who,select,blue,nonfinite,0
10729,EN,MAF,predict,who,select,blue,nonfinite,0
10897,EN,MAF,predict,who,select,blue,nonfinite,0
8587,EN,MATF,predict,where,locate,blue,nonfinite,0
9541,EN,MATF,predict,where,locate,blue,nonfinite,1
8602,EN,MATF,predict,where,locate,blue,nonfinite,0
9421,EN,MATF,predict,where,locate,blue,nonfinite,0
9634,EN,MATF,predict,where,locate,blue,nonfinite,1
8140,EN,MATF,predict,where,locate,blue,nonfinite,0
9313,EN,MATF,predict,where,locate,blue,nonfinite,1
8608,EN,MATF,predict,where,locate,blue,nonfinite,1
7948,EN,MATF,predict,where,locate,blue,nonfinite,1
9682,EN,MATF,predict,where,locate,blue,nonfinite,0
9631,EN,MATF,predict,where,locate,blue,nonfinite,0
7990,EN,MATF,predict,where,locate,blue,nonfinite,0
9847,EN,MATF,predict,where,locate,blue,nonfinite,0
8515,EN,MATF,predict,where,locate,blue,nonfinite,0
9712,EN,MATF,predict,where,locate,blue,nonfinite,1
7009,EN,MATF,predict,where,locate,blue,nonfinite,1
7408,EN,MATF,predict,where,locate,blue,nonfinite,1
9493,EN,MATF,predict,where,locate,blue,nonfinite,1
7846,EN,MATF,predict,where,locate,blue,nonfinite,1
9511,EN,MATF,predict,where,locate,blue,nonfinite,0
9157,EN,MATF,predict,where,locate,blue,nonfinite,1
9610,EN,MATF,predict,where,locate,blue,nonfinite,0
9661,EN,MATF,predict,where,locate,blue,nonfinite,1
8167,EN,MATF,predict,where,locate,blue,nonfinite,0
7678,EN,MATF,predict,where,locate,blue,nonfinite,1
11344,EN,MATF,predict,where,locate,blue,nonfinite,0
10813,EN,MATF,predict,where,locate,blue,nonfinite,1
10021,EN,MATF,predict,where,locate,blue,nonfinite,1
10771,EN,MATF,predict,where,locate,blue,nonfinite,1
10729,EN,MATF,predict,where,locate,blue,nonfinite,1
10897,EN,MATF,predict,where,locate,blue,nonfinite,1
8587,EN,MATF,predict,where,display,blue,nonfinite,0
9541,EN,MATF,predict,where,display,blue,nonfinite,1
8602,EN,MATF,predict,where,display,blue,nonfinite,1
9421,EN,MATF,predict,where,display,blue,nonfinite,0
9634,EN,MATF,predict,where,display,blue,nonfinite,1
8140,EN,MATF,predict,where,display,blue,nonfinite,0
9313,EN,MATF,predict,where,display,blue,nonfinite,1
8608,EN,MATF,predict,where,display,blue,nonfinite,1
7948,EN,MATF,predict,where,display,blue,nonfinite,1
9682,EN,MATF,predict,where,display,blue,nonfinite,0
9631,EN,MATF,predict,where,display,blue,nonfinite,1
7990,EN,MATF,predict,where,display,blue,nonfinite,1
9847,EN,MATF,predict,where,display,blue,nonfinite,1
8515,EN,MATF,predict,where,display,blue,nonfinite,0
9712,EN,MATF,predict,where,display,blue,nonfinite,1
7009,EN,MATF,predict,where,display,blue,nonfinite,1
7408,EN,MATF,predict,where,display,blue,nonfinite,0
9493,EN,MATF,predict,where,display,blue,nonfinite,1
7846,EN,MATF,predict,where,display,blue,nonfinite,1
9511,EN,MATF,predict,where,display,blue,nonfinite,0
9157,EN,MATF,predict,where,display,blue,nonfinite,1
9610,EN,MATF,predict,where,display,blue,nonfinite,1
9661,EN,MATF,predict,where,display,blue,nonfinite,1
8167,EN,MATF,predict,where,display,blue,nonfinite,1
7678,EN,MATF,predict,where,display,blue,nonfinite,1
11344,EN,MATF,predict,where,display,blue,nonfinite,0
10813,EN,MATF,predict,where,display,blue,nonfinite,1
10021,EN,MATF,predict,where,display,blue,nonfinite,1
10771,EN,MATF,predict,where,display,blue,nonfinite,1
10729,EN,MATF,predict,where,display,blue,nonfinite,1
10897,EN,MATF,predict,where,display,blue,nonfinite,0
8587,EN,MATF,predict,who,ask,blue,nonfinite,0
9541,EN,MATF,predict,who,ask,blue,nonfinite,0
8602,EN,MATF,predict,who,ask,blue,nonfinite,0
9421,EN,MATF,predict,who,ask,blue,nonfinite,1
9634,EN,MATF,predict,who,ask,blue,nonfinite,1
8140,EN,MATF,predict,who,ask,blue,nonfinite,0
9313,EN,MATF,predict,who,ask,blue,nonfinite,1
8608,EN,MATF,predict,who,ask,blue,nonfinite,0
7948,EN,MATF,predict,who,ask,blue,nonfinite,0
9682,EN,MATF,predict,who,ask,blue,nonfinite,0
9631,EN,MATF,predict,who,ask,blue,nonfinite,0
7990,EN,MATF,predict,who,ask,blue,nonfinite,1
9847,EN,MATF,predict,who,ask,blue,nonfinite,1
8515,EN,MATF,predict,who,ask,blue,nonfinite,0
9712,EN,MATF,predict,who,ask,blue,nonfinite,1
7009,EN,MATF,predict,who,ask,blue,nonfinite,0
7408,EN,MATF,predict,who,ask,blue,nonfinite,1
9493,EN,MATF,predict,who,ask,blue,nonfinite,1
7846,EN,MATF,predict,who,ask,blue,nonfinite,1
9511,EN,MATF,predict,who,ask,blue,nonfinite,0
9157,EN,MATF,predict,who,ask,blue,nonfinite,0
9610,EN,MATF,predict,who,ask,blue,nonfinite,0
9661,EN,MATF,predict,who,ask,blue,nonfinite,1
8167,EN,MATF,predict,who,ask,blue,nonfinite,0
7678,EN,MATF,predict,who,ask,blue,nonfinite,1
11344,EN,MATF,predict,who,ask,blue,nonfinite,0
10813,EN,MATF,predict,who,ask,blue,nonfinite,1
10021,EN,MATF,predict,who,ask,blue,nonfinite,1
10771,EN,MATF,predict,who,ask,blue,nonfinite,0
10729,EN,MATF,predict,who,ask,blue,nonfinite,1
10897,EN,MATF,predict,who,ask,blue,nonfinite,0
8587,EN,MATF,predict,who,contact,blue,nonfinite,0
9541,EN,MATF,predict,who,contact,blue,nonfinite,1
8602,EN,MATF,predict,who,contact,blue,nonfinite,0
9421,EN,MATF,predict,who,contact,blue,nonfinite,0
9634,EN,MATF,predict,who,contact,blue,nonfinite,1
8140,EN,MATF,predict,who,contact,blue,nonfinite,1
9313,EN,MATF,predict,who,contact,blue,nonfinite,1
8608,EN,MATF,predict,who,contact,blue,nonfinite,0
7948,EN,MATF,predict,who,contact,blue,nonfinite,1
9682,EN,MATF,predict,who,contact,blue,nonfinite,0
9631,EN,MATF,predict,who,contact,blue,nonfinite,1
7990,EN,MATF,predict,who,contact,blue,nonfinite,1
9847,EN,MATF,predict,who,contact,blue,nonfinite,1
8515,EN,MATF,predict,who,contact,blue,nonfinite,0
9712,EN,MATF,predict,who,contact,blue,nonfinite,1
7009,EN,MATF,predict,who,contact,blue,nonfinite,1
7408,EN,MATF,predict,who,contact,blue,nonfinite,1
9493,EN,MATF,predict,who,contact,blue,nonfinite,1
7846,EN,MATF,predict,who,contact,blue,nonfinite,1
9511,EN,MATF,predict,who,contact,blue,nonfinite,0
9157,EN,MATF,predict,who,contact,blue,nonfinite,1
9610,EN,MATF,predict,who,contact,blue,nonfinite,1
9661,EN,MATF,predict,who,contact,blue,nonfinite,1
8167,EN,MATF,predict,who,contact,blue,nonfinite,1
7678,EN,MATF,predict,who,contact,blue,nonfinite,1
