l1,subject,list,context,mat_verb,wh,emb_verb,response
,8719,green,maf,predict,where,view,0
,8719,green,maf,predict,where,bury,0
,8749,green,maf,predict,where,view,0
,8749,green,maf,predict,where,bury,0
,8767,red,maf,predict,where,locate,0
,8767,red,maf,predict,where,display,0
,8779,green,maf,predict,where,view,0
,8779,green,maf,predict,where,bury,0
,8968,red,maf,predict,where,locate,0
,8968,red,maf,predict,where,display,0
,9055,green,maf,predict,where,view,0
,9055,green,maf,predict,where,bury,0
,9157,blue,maf,predict,where,store,0
,9157,blue,maf,predict,where,sell,0
,9313,blue,maf,predict,where,store,0
,9313,blue,maf,predict,where,sell,0
,9325,red,maf,predict,where,locate,0
,9325,red,maf,predict,where,display,1
,9421,blue,maf,predict,where,store,0
,9421,blue,maf,predict,where,sell,0
,9430,green,maf,predict,where,view,0
,9430,green,maf,predict,where,bury,0
,9490,red,maf,predict,where,locate,0
,9490,red,maf,predict,where,display,0
,9493,blue,maf,predict,where,store,0
,9493,blue,maf,predict,where,sell,0
,9502,red,maf,predict,where,locate,0
,9502,red,maf,predict,where,display,0
,9511,blue,maf,predict,where,store,0
,9511,blue,maf,predict,where,sell,0
,9541,blue,maf,predict,where,store,0
,9541,blue,maf,predict,where,sell,0
,9610,blue,maf,predict,where,store,0
,9610,blue,maf,predict,where,sell,0
,9631,blue,maf,predict,where,store,0
,9631,blue,maf,predict,where,sell,0
,9634,blue,maf,predict,where,store,0
,9634,blue,maf,predict,where,sell,0
,9643,green,maf,predict,where,view,0
,9643,green,maf,predict,where,bury,0
,9655,green,maf,predict,where,view,0
,9655,green,maf,predict,where,bury,0
,9661,blue,maf,predict,where,store,0
,9661,blue,maf,predict,where,sell,0
,9676,green,maf,predict,where,view,1
,9676,green,maf,predict,where,bury,0
,9682,blue,maf,predict,where,store,0
,9682,blue,maf,predict,where,sell,0
,9703,green,maf,predict,where,view,0
,9703,green,maf,predict,where,bury,0
,9712,blue,maf,predict,where,store,0
,9712,blue,maf,predict,where,sell,0
,9715,red,maf,predict,where,locate,0
,9715,red,maf,predict,where,display,0
,9814,green,maf,predict,where,view,0
,9814,green,maf,predict,where,bury,1
,9847,blue,maf,predict,where,store,0
,9847,blue,maf,predict,where,sell,0
,9848,red,maf,predict,where,locate,0
,9848,red,maf,predict,where,display,0
,9871,green,maf,predict,where,view,0
,9871,green,maf,predict,where,bury,0
,9982,red,maf,predict,where,locate,0
