subject,pool,trial,story,verb,wh,report,response
98.25.196.90,online,FILLER-FB,book,wonder,who,t+f,1
108.237.150.35,online,Filler-FB,tv,predict,who,t+f,0
108.237.150.35,online,Filler-FB,dogpark,tell,which dogs,t+f,0
108.237.150.35,online,FILLER-FB,party,surprise,who,t+f,1
108.237.150.35,online,FILLER-FB,kittens,certain,who,t+f,1
108.237.150.35,online,Filler-FB,election,agree on,who,t+f,1
108.237.150.35,online,Filler-FB,travel,forgot,who,t+f,1
108.237.150.35,online,FILLER-FB,book,wonder,who,t+f,1
172.56.16.204,online,Filler-FB,tv,predict,who,t+f,1
172.56.16.204,online,Filler-FB,dogpark,tell,which dogs,t+f,1
172.56.16.204,online,FILLER-FB,party,surprise,who,t+f,1
172.56.16.204,online,FILLER-FB,kittens,certain,who,t+f,1
172.56.16.204,online,Filler-FB,election,agree on,who,t+f,1
172.56.16.204,online,Filler-FB,travel,forgot,who,t+f,1
172.56.16.204,online,FILLER-FB,book,wonder,who,t+f,1
164.67.237.91,online,Filler-FB,tv,predict,who,t+f,1
164.67.237.91,online,Filler-FB,dogpark,tell,which dogs,t+f,0
164.67.237.91,online,FILLER-FB,party,surprise,who,t+f,1
164.67.237.91,online,FILLER-FB,kittens,certain,who,t+f,0
164.67.237.91,online,Filler-FB,election,agree on,who,t+f,1
164.67.237.91,online,Filler-FB,travel,forgot,who,t+f,0
164.67.237.91,online,FILLER-FB,book,wonder,who,t+f,1
173.79.59.181,online,Filler-FB,tv,predict,who,t+f,0
173.79.59.181,online,Filler-FB,dogpark,tell,which dogs,t+f,0
173.79.59.181,online,FILLER-FB,party,surprise,who,t+f,1
173.79.59.181,online,FILLER-FB,kittens,certain,who,t+f,0
173.79.59.181,online,Filler-FB,election,agree on,who,t+f,1
173.79.59.181,online,Filler-FB,travel,forgot,who,t+f,1
173.79.59.181,online,FILLER-FB,book,wonder,who,t+f,1
73.242.55.235,online,Filler-FB,tv,predict,who,t+f,0
73.242.55.235,online,Filler-FB,dogpark,tell,which dogs,t+f,0
73.242.55.235,online,FILLER-FB,party,surprise,who,t+f,0
73.242.55.235,online,FILLER-FB,kittens,certain,who,t+f,0
73.242.55.235,online,Filler-FB,election,agree on,who,t+f,1
73.242.55.235,online,Filler-FB,travel,forgot,who,t+f,1
73.242.55.235,online,FILLER-FB,book,wonder,who,t+f,1
147.222.216.116,online,Filler-FB,tv,predict,who,t+f,1
147.222.216.116,online,Filler-FB,dogpark,tell,which dogs,t+f,1
147.222.216.116,online,FILLER-FB,party,surprise,who,t+f,1
147.222.216.116,online,FILLER-FB,kittens,certain,who,t+f,0
147.222.216.116,online,Filler-FB,election,agree on,who,t+f,1
147.222.216.116,online,Filler-FB,travel,forgot,who,t+f,0
147.222.216.116,online,FILLER-FB,book,wonder,who,t+f,1
12.167.141.60,online,Filler-FB,tv,predict,who,t+f,1
12.167.141.60,online,Filler-FB,dogpark,tell,which dogs,t+f,1
12.167.141.60,online,FILLER-FB,party,surprise,who,t+f,1
12.167.141.60,online,FILLER-FB,kittens,certain,who,t+f,0
12.167.141.60,online,Filler-FB,election,agree on,who,t+f,1
12.167.141.60,online,Filler-FB,travel,forgot,who,t+f,0
12.167.141.60,online,FILLER-FB,book,wonder,who,t+f,1
136.160.90.3,online,Filler-FB,tv,predict,who,t+f,0
136.160.90.3,online,Filler-FB,dogpark,tell,which dogs,t+f,1
136.160.90.3,online,FILLER-FB,party,surprise,who,t+f,1
136.160.90.3,online,FILLER-FB,kittens,certain,who,t+f,1
136.160.90.3,online,Filler-FB,election,agree on,who,t+f,1
136.160.90.3,online,Filler-FB,travel,forgot,who,t+f,1
136.160.90.3,online,FILLER-FB,book,wonder,who,t+f,1
67.84.43.204,online,Filler-FB,tv,predict,who,t+f,1
67.84.43.204,online,Filler-FB,dogpark,tell,which dogs,t+f,1
67.84.43.204,online,FILLER-FB,party,surprise,who,t+f,1
67.84.43.204,online,FILLER-FB,kittens,certain,who,t+f,1
67.84.43.204,online,Filler-FB,election,agree on,who,t+f,1
67.84.43.204,online,Filler-FB,travel,forgot,who,t+f,1
67.84.43.204,online,FILLER-FB,book,wonder,who,t+f,1
50.32.254.161,online,Filler-FB,tv,predict,who,t+f,0
50.32.254.161,online,Filler-FB,dogpark,tell,which dogs,t+f,0
50.32.254.161,online,FILLER-FB,party,surprise,who,t+f,1
50.32.254.161,online,FILLER-FB,kittens,certain,who,t+f,1
50.32.254.161,online,Filler-FB,election,agree on,who,t+f,1
50.32.254.161,online,Filler-FB,travel,forgot,who,t+f,1
50.32.254.161,online,FILLER-FB,book,wonder,who,t+f,1
167.219.88.140,online,Filler-FB,tv,predict,who,t+f,0
167.219.88.140,online,Filler-FB,dogpark,tell,which dogs,t+f,1
167.219.88.140,online,FILLER-FB,party,surprise,who,t+f,1
167.219.88.140,online,FILLER-FB,kittens,certain,who,t+f,1
167.219.88.140,online,Filler-FB,election,agree on,who,t+f,1
167.219.88.140,online,Filler-FB,travel,forgot,who,t+f,1
167.219.88.140,online,FILLER-FB,book,wonder,who,t+f,1
68.170.94.47,online,Filler-FB,tv,predict,who,t+f,1
68.170.94.47,online,Filler-FB,dogpark,tell,which dogs,t+f,1
68.170.94.47,online,FILLER-FB,party,surprise,who,t+f,1
68.170.94.47,online,FILLER-FB,kittens,certain,who,t+f,1
68.170.94.47,online,Filler-FB,election,agree on,who,t+f,1
68.170.94.47,online,Filler-FB,travel,forgot,who,t+f,1
68.170.94.47,online,FILLER-FB,book,wonder,who,t+f,0
162.239.1.6,online,Filler-FB,tv,predict,who,t+f,1
162.239.1.6,online,Filler-FB,dogpark,tell,which dogs,t+f,1
162.239.1.6,online,FILLER-FB,party,surprise,who,t+f,0
162.239.1.6,online,FILLER-FB,kittens,certain,who,t+f,1
162.239.1.6,online,Filler-FB,election,agree on,who,t+f,1
162.239.1.6,online,Filler-FB,travel,forgot,who,t+f,0
162.239.1.6,online,FILLER-FB,book,wonder,who,t+f,1
73.182.225.53,online,Filler-FB,tv,predict,who,t+f,0
73.182.225.53,online,Filler-FB,dogpark,tell,which dogs,t+f,0
73.182.225.53,online,FILLER-FB,party,surprise,who,t+f,1
73.182.225.53,online,FILLER-FB,kittens,certain,who,t+f,1
73.182.225.53,online,Filler-FB,election,agree on,who,t+f,1
73.182.225.53,online,Filler-FB,travel,forgot,who,t+f,1
73.182.225.53,online,FILLER-FB,book,wonder,who,t+f,1
192.231.177.29,online,Filler-FB,tv,predict,who,t+f,1
192.231.177.29,online,Filler-FB,dogpark,tell,which dogs,t+f,1
192.231.177.29,online,FILLER-FB,party,surprise,who,t+f,1
192.231.177.29,online,FILLER-FB,kittens,certain,who,t+f,1
192.231.177.29,online,Filler-FB,election,agree on,who,t+f,1
192.231.177.29,online,Filler-FB,travel,forgot,who,t+f,0
192.231.177.29,online,FILLER-FB,book,wonder,who,t+f,1
73.200.22.97,online,Filler-FB,tv,predict,who,t+f,0
73.200.22.97,online,Filler-FB,dogpark,tell,which dogs,t+f,0
73.200.22.97,online,FILLER-FB,party,surprise,who,t+f,1
73.200.22.97,online,FILLER-FB,kittens,certain,who,t+f,1
73.200.22.97,online,Filler-FB,election,agree on,who,t+f,1
73.200.22.97,online,Filler-FB,travel,forgot,who,t+f,1
73.200.22.97,online,FILLER-FB,book,wonder,who,t+f,0
108.53.051.141,rutgers,Filler-MS,track,predict,who,ms,1
108.53.051.141,rutgers,FIller-MS,ice cream,tell,where,ms,0
108.53.051.141,rutgers,Filler-MS,gas,surprise,what gas stations,ms,1
108.53.051.141,rutgers,FILLER-MS,notary,certain,where,ms,1
108.53.051.141,rutgers,FILLER-MS,nobel,agree on,which physicists,ms,1
108.53.051.141,rutgers,Filler-MS,movie,forgot,where,ms,1
108.53.051.141,rutgers,FILLER-MS,lounge,wonder,who,ms,0
165.030.004.105,rutgers,Filler-MS,track,predict,who,ms,0
165.030.004.105,rutgers,FIller-MS,ice cream,tell,where,ms,1
165.030.004.105,rutgers,Filler-MS,gas,surprise,what gas stations,ms,1
165.030.004.105,rutgers,FILLER-MS,notary,certain,where,ms,1
165.030.004.105,rutgers,FILLER-MS,nobel,agree on,which physicists,ms,1
165.030.004.105,rutgers,Filler-MS,movie,forgot,where,ms,1
165.030.004.105,rutgers,FILLER-MS,lounge,wonder,who,ms,0
165.030.004.90,rutgers,Filler-MS,track,predict,who,ms,0
165.030.004.90,rutgers,FIller-MS,ice cream,tell,where,ms,1
165.030.004.90,rutgers,Filler-MS,gas,surprise,what gas stations,ms,1
165.030.004.90,rutgers,FILLER-MS,notary,certain,where,ms,1
165.030.004.90,rutgers,FILLER-MS,nobel,agree on,which physicists,ms,1
165.030.004.90,rutgers,Filler-MS,movie,forgot,where,ms,0
165.030.004.90,rutgers,FILLER-MS,lounge,wonder,who,ms,1
70.190.71.170,rutgers,Filler-MS,track,predict,who,ms,0
70.190.71.170,rutgers,FIller-MS,ice cream,tell,where,ms,1
70.190.71.170,rutgers,Filler-MS,gas,surprise,what gas stations,ms,0
70.190.71.170,rutgers,FILLER-MS,notary,certain,where,ms,0
70.190.71.170,rutgers,FILLER-MS,nobel,agree on,which physicists,ms,0
70.190.71.170,rutgers,Filler-MS,movie,forgot,where,ms,0
70.190.71.170,rutgers,FILLER-MS,lounge,wonder,who,ms,1
165.030.004.000,rutgers,Filler-MS,track,predict,who,ms,0
165.030.004.000,rutgers,FIller-MS,ice cream,tell,where,ms,1
165.030.004.000,rutgers,Filler-MS,gas,surprise,what gas stations,ms,1
165.030.004.000,rutgers,FILLER-MS,notary,certain,where,ms,1
165.030.004.000,rutgers,FILLER-MS,nobel,agree on,which physicists,ms,1
165.030.004.000,rutgers,Filler-MS,movie,forgot,where,ms,1
165.030.004.000,rutgers,FILLER-MS,lounge,wonder,who,ms,0
70.80.109.003,rutgers,Filler-MS,track,predict,who,ms,1
70.80.109.003,rutgers,FIller-MS,ice cream,tell,where,ms,1
70.80.109.003,rutgers,Filler-MS,gas,surprise,what gas stations,ms,1
70.80.109.003,rutgers,FILLER-MS,notary,certain,where,ms,1
70.80.109.003,rutgers,FILLER-MS,nobel,agree on,which physicists,ms,1
70.80.109.003,rutgers,Filler-MS,movie,forgot,where,ms,1
70.80.109.003,rutgers,FILLER-MS,lounge,wonder,who,ms,0
190.150.043.015,rutgers,Filler-MS,track,predict,who,ms,1
190.150.043.015,rutgers,FIller-MS,ice cream,tell,where,ms,1
190.150.043.015,rutgers,Filler-MS,gas,surprise,what gas stations,ms,1
190.150.043.015,rutgers,FILLER-MS,notary,certain,where,ms,1
190.150.043.015,rutgers,FILLER-MS,nobel,agree on,which physicists,ms,1
190.150.043.015,rutgers,Filler-MS,movie,forgot,where,ms,0
190.150.043.015,rutgers,FILLER-MS,lounge,wonder,who,ms,1
67.86.050.170,rutgers,Filler-MS,track,predict,who,ms,1
67.86.050.170,rutgers,FIller-MS,ice cream,tell,where,ms,1
